"Response ID","Date submitted","Last page","Start language","How important is User Experience for your?  Good user experience means functional requirements are covered completely, the program is easy to use, and it is a pleasure the work with it.","How important is Replicability for you?  Anyone can read the source code, understand how a function computes, and use it for their own projects.","How important is Transparency for you?  The project permits use, study, and modification of the source code without restriction, and as a normal user you are regularly informed about all aspects.","How important is it to have a Trusted Producer?  Trust in the producer (or rather publisher) means you know the organization and people for years and can rely on the product in the future.","How important is the availability of Technical Support for you?  Technical support in terms of the availability of wikis and forums, as well as the possibility to contact experts and even developers.","How important is Stability for you?  Stability means the program functions properly and does not hang or crash on unexpected conditions.","How important is Security for you?  Security is the protection from information theft or damage as well as from disruption or misdirection of services.","How important is the Cost factor for you?  Open Source software is usually free of charge but might have follow-up costs for training and administration, for instance.","How important is Compatibility for you? This terms means to load data processed with old software versions (backward compatibility) as well as the compatibility across different programs and platforms.","How important is Customizability/Modifiability for you?  The term means you can adapt the program to your personal needs and preferences regarding the visual appearance as well as the workflow.","What other office suites do you use on a regular basis? [Apache OpenOffice]","What other office suites do you use on a regular basis? [Apple iWork]","What other office suites do you use on a regular basis? [Calligra Suite]","What other office suites do you use on a regular basis? [Corel WordPerfect Office]","What other office suites do you use on a regular basis? [Google Docs]","What other office suites do you use on a regular basis? [Kingsoft WPS Office]","What other office suites do you use on a regular basis? [Microsoft Office]","What other office suites do you use on a regular basis? [NeoOffice]","What other office suites do you use on a regular basis? [OnlyOffice]","What other office suites do you use on a regular basis? [SoftMaker Office]","What other office suites do you use on a regular basis? [Other]","How often do you use an online office suite?","For how many years are you a user of LibreOffice and its predecessor?","Would a colleague or friend ask you how to solve a problem with LibreOffice?","What version of LibreOffice do you currently run in production (ie. not just for testing)?","What's your affiliation with the project? [Normal user]","What's your affiliation with the project? [Administration]","What's your affiliation with the project? [Development/Design]","What's your affiliation with the project? [Help authoring/User support at ask.libreoffice.org]","What's your affiliation with the project? [Marketing]","What's your affiliation with the project? [Localization]","What's your affiliation with the project? [QA: reporting, testing, confirming bugs]","What's your affiliation with the project? [Training]","Are you member of The Document Foundation?","What is your operating system?","What is your operating system? [Other]"
"670","1980-01-01 00:00:00","1","en","Moderately important","Very important","Moderately important","Moderately important","","Extremely important","Extremely important","Moderately important","Slightly important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","12","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"671","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"672","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Extremely important","Extremely important","Moderately important","Extremely important","Extremely important","Moderately important","Extremely important","Extremely important","No","No","No","No","No","No","No","No","No","No","","rarely","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"673","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Slightly important","Moderately important","Very important","Very important","Slightly important","Extremely important","Extremely important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","6","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"674","1980-01-01 00:00:00","1","en","Extremely important","Very important","Very important","Slightly important","Slightly important","Extremely important","Very important","Extremely important","Extremely important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","17","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"675","1980-01-01 00:00:00","1","en","Very important","Very important","Very important","Very important","Moderately important","Extremely important","Extremely important","Moderately important","Extremely important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","Yes","No","No","Linux",""
"676","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Extremely important","Moderately important","Moderately important","Moderately important","Very important","Moderately important","Moderately important","Extremely important","No","No","No","No","No","No","No","No","No","No","","never","7","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"677","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Extremely important","Very important","Moderately important","Extremely important","Extremely important","Very important","Extremely important","Very important","No","No","No","No","No","No","Yes","No","No","No","","occasionally","5","Yes","Nothing else than 'fresh'","No","No","Yes","No","No","No","No","No","No","Linux",""
"678","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Slightly important","Moderately important","Slightly important","Extremely important","Very important","Moderately important","Extremely important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","rarely","4","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"679","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Moderately important","Very important","Slightly important","Extremely important","Very important","Moderately important","Extremely important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","always","20","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"680","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Moderately important","Very important","Slightly important","Moderately important","Very important","Moderately important","Very important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","5","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"681","1980-01-01 00:00:00","1","en","Extremely important","Very important","Moderately important","Very important","Very important","Extremely important","Very important","Slightly important","Very important","Moderately important","No","No","No","No","Yes","No","No","No","No","No","","frequently","7","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"682","1980-01-01 00:00:00","1","en","Very important","Not at all important","Slightly important","Moderately important","Slightly important","Very important","Moderately important","Moderately important","Extremely important","Moderately important","No","Yes","No","No","Yes","No","Yes","No","No","No","","occasionally","5","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Other","MacOS, Linux Mint  and window 7"
"683","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"684","1980-01-01 00:00:00","1","en","Extremely important","Very important","Not at all important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","2","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"685","1980-01-01 00:00:00","1","es","Slightly important","Slightly important","Extremely important","Moderately important","Moderately important","Extremely important","Extremely important","Not at all important","Extremely important","Slightly important","No","No","No","No","Yes","No","No","No","No","No","","always","15","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"686","1980-01-01 00:00:00","1","en","Very important","Moderately important","Very important","Very important","Very important","Extremely important","Extremely important","Moderately important","Extremely important","Very important","No","No","No","No","No","No","Yes","No","No","No","","occasionally","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"687","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Very important","Very important","Slightly important","Extremely important","","Extremely important","Moderately important","Extremely important","No","No","No","No","Yes","No","No","No","No","No","","frequently","10","Yes","Nothing else than 'fresh'","Yes","No","Yes","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"688","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Very important","Extremely important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Yes","No","No","No","Yes","No","No","No","No","No","","occasionally","15","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"689","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Extremely important","Moderately important","Not at all important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","10","Yes","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"690","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Slightly important","Very important","Very important","Extremely important","Very important","Extremely important","Extremely important","Slightly important","No","No","No","No","Yes","No","No","No","No","No","","frequently","3","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","macOS",""
"691","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","","Very important","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","No","No","No","No","No","No","Yes","No","No","No","","rarely","1","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"692","1980-01-01 00:00:00","1","en","Extremely important","Very important","Very important","Extremely important","Very important","Very important","Extremely important","Slightly important","Moderately important","Very important","Yes","No","No","No","Yes","No","Yes","No","No","No","","frequently","3","Yes","I'm always on 'stable'","Yes","No","Yes","No","No","Yes","No","No","No","Microsoft Windows 7",""
"693","1980-01-01 00:00:00","1","en","Very important","Very important","Very important","Very important","Extremely important","Extremely important","Extremely important","Very important","Very important","Very important","Yes","No","No","No","Yes","No","Yes","No","No","No","","frequently","5","Yes","I'm always on 'stable'","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Linux",""
"694","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"695","1980-01-01 00:00:00","1","en","Extremely important","Not at all important","Slightly important","Moderately important","Not at all important","Very important","Very important","Not at all important","Moderately important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","3","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"696","1980-01-01 00:00:00","1","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"697","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Very important","Very important","Extremely important","Extremely important","Moderately important","Extremely important","Moderately important","No","No","No","No","Yes","No","No","No","No","No","Mobisystems OfficeSuite (Android) ","rarely","6","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"698","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Very important","Moderately important","Very important","Extremely important","Moderately important","Very important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"699","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Extremely important","Very important","Very important","Extremely important","Very important","Moderately important","Extremely important","Very important","No","No","No","No","Yes","Yes","Yes","No","No","No","","occasionally","5","No","I'm always on 'stable'","Yes","No","No","No","No","Yes","No","No","No","Linux",""
"700","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Extremely important","Extremely important","Extremely important","Very important","Very important","Extremely important","Moderately important","No","No","No","No","No","Yes","Yes","No","No","No","","rarely","3","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"701","1980-01-01 00:00:00","1","en","Moderately important","Moderately important","Extremely important","Very important","Moderately important","Very important","Very important","Not at all important","Extremely important","Moderately important","No","No","No","No","No","Yes","Yes","No","No","No","","never","10","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"702","1980-01-01 00:00:00","1","zh-Hant-TW","Very important","Moderately important","Moderately important","Moderately important","Moderately important","Very important","Very important","Slightly important","Very important","Moderately important","No","No","No","No","Yes","Yes","Yes","No","No","No","","occasionally","2","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"703","1980-01-01 00:00:00","1","en","Moderately important","Slightly important","Moderately important","Very important","Moderately important","Very important","Moderately important","Very important","Very important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","rarely","7","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"704","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"705","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"706","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","5","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"707","1980-01-01 00:00:00","1","en","Very important","Extremely important","Very important","Extremely important","Slightly important","Extremely important","Slightly important","Moderately important","Very important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","never","0.5","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"708","1980-01-01 00:00:00","1","en","Very important","Moderately important","Very important","Very important","Slightly important","Very important","Very important","Very important","Very important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"709","1980-01-01 00:00:00","1","en","Moderately important","Very important","Moderately important","Very important","Slightly important","Very important","Extremely important","Very important","Moderately important","Very important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"710","1980-01-01 00:00:00","1","cs","Very important","Slightly important","Moderately important","Slightly important","Moderately important","Very important","Moderately important","Moderately important","Extremely important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"711","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"712","1980-01-01 00:00:00","1","cs","Extremely important","Not at all important","Moderately important","Very important","Moderately important","Extremely important","Very important","Moderately important","Extremely important","Very important","No","No","No","No","No","No","Yes","No","No","No","","rarely","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"713","1980-01-01 00:00:00","1","cs","Very important","Slightly important","Moderately important","Slightly important","Very important","Extremely important","Very important","Very important","Very important","Moderately important","Yes","No","No","No","No","No","Yes","No","No","Yes","","frequently","15","N/A","","No","No","No","No","No","No","No","No","N/A","",""
"714","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Moderately important","Very important","Slightly important","Extremely important","Very important","Very important","Extremely important","Very important","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","","rarely","6","Yes","Nothing else than 'fresh'","Yes","No","No","Yes","No","No","Yes","No","No","Linux",""
"715","1980-01-01 00:00:00","1","cs","Moderately important","Slightly important","Slightly important","Moderately important","Moderately important","Very important","Very important","Moderately important","Very important","Moderately important","No","No","Yes","No","No","Yes","Yes","No","No","No","","rarely","12","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"716","1980-01-01 00:00:00","1","en","Very important","Very important","Extremely important","Moderately important","Very important","Extremely important","Extremely important","Very important","Extremely important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","3","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"717","1980-01-01 00:00:00","1","en","Very important","Very important","Moderately important","Extremely important","Moderately important","Extremely important","Very important","Extremely important","Extremely important","Moderately important","No","No","No","No","Yes","Yes","Yes","No","No","No","","rarely","10","Yes","I'm always on 'stable'","No","No","Yes","No","Yes","No","Yes","Yes","No","Linux",""
"718","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Extremely important","Extremely important","Not at all important","Extremely important","Very important","Extremely important","Extremely important","Extremely important","No","No","No","No","No","No","No","No","No","No","","frequently","15","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"719","1980-01-01 00:00:00","1","en","Very important","Moderately important","Very important","Very important","Moderately important","Extremely important","Very important","Very important","Very important","Very important","No","No","No","No","Yes","Yes","Yes","No","No","No","","occasionally","5","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"720","","0","en","","","","","","","","","","","No","No","No","No","No","No","No","No","No","No","","","","N/A","","No","No","No","No","No","No","No","No","N/A","",""
"721","1980-01-01 00:00:00","1","en","Very important","Extremely important","Extremely important","Moderately important","Moderately important","Extremely important","Extremely important","Moderately important","Extremely important","Slightly important","No","No","Yes","No","No","No","No","No","No","No","","rarely","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"722","1980-01-01 00:00:00","1","en","Very important","Moderately important","Moderately important","Extremely important","Moderately important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","No","No","No","No","No","No","Yes","No","No","No","","rarely","15","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Other","win7,10,Linux,MacOS"
"723","1980-01-01 00:00:00","1","cs","Very important","Slightly important","Slightly important","Very important","Slightly important","Extremely important","Very important","Very important","Extremely important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","15","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Other","Linux, Windows 7"
"724","1980-01-01 00:00:00","1","it","Extremely important","Moderately important","Very important","Extremely important","Moderately important","Extremely important","Very important","Slightly important","Extremely important","Very important","Yes","No","No","No","Yes","No","Yes","No","No","No","","frequently","17","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"725","1980-01-01 00:00:00","1","en","Very important","Moderately important","Very important","Very important","Very important","Extremely important","Extremely important","Very important","Extremely important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","rarely","2011","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"726","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Moderately important","Extremely important","Slightly important","Very important","Extremely important","Moderately important","Extremely important","Very important","No","No","No","No","No","No","Yes","No","No","No","","never","9","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"727","1980-01-01 00:00:00","1","cs","Very important","Not at all important","Extremely important","Extremely important","Slightly important","Extremely important","Extremely important","Very important","Extremely important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"728","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Extremely important","Extremely important","Slightly important","Extremely important","Very important","Moderately important","Very important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","6","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"729","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Moderately important","Slightly important","Extremely important","Extremely important","Very important","Moderately important","Moderately important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","6","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"730","1980-01-01 00:00:00","1","en","Very important","Moderately important","Extremely important","Very important","Slightly important","Very important","Very important","Extremely important","Extremely important","Very important","No","No","No","No","No","No","Yes","No","No","No","","occasionally","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"731","1980-01-01 00:00:00","1","en","Extremely important","Very important","Extremely important","Extremely important","Very important","Very important","Extremely important","Extremely important","Extremely important","Moderately important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","2","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"732","1980-01-01 00:00:00","1","en","Extremely important","Very important","Very important","Extremely important","Slightly important","Very important","Extremely important","Very important","Extremely important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","15","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"733","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Slightly important","Slightly important","Moderately important","Extremely important","Very important","Moderately important","Extremely important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","7","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Other","Linux and Windows 10"
"734","1980-01-01 00:00:00","1","cs","Moderately important","Very important","Moderately important","Very important","Extremely important","Very important","Very important","Slightly important","Very important","Moderately important","No","No","No","No","Yes","No","No","No","No","No","","rarely","12","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"735","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"736","1980-01-01 00:00:00","1","en","Very important","Moderately important","Moderately important","Very important","Moderately important","Very important","Very important","Slightly important","Very important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","never","15","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Other","Linux, Windows 7 a 8"
"737","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Moderately important","Very important","Slightly important","Moderately important","Very important","Slightly important","Extremely important","Very important","No","No","No","No","Yes","Yes","Yes","No","No","No","","always","3","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"738","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Slightly important","Extremely important","Moderately important","Extremely important","Extremely important","Slightly important","Extremely important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","5","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","Yes","No","No","Other","Linux & Windows 8.1 (unable to selecte more than one)"
"739","1980-01-01 00:00:00","1","de","Extremely important","Moderately important","Moderately important","Moderately important","Moderately important","Extremely important","Very important","Moderately important","Extremely important","Very important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","16","No","Nothing else than 'fresh'","Yes","Yes","No","No","No","No","No","No","No","Linux",""
"740","1980-01-01 00:00:00","1","it","Very important","Very important","Very important","Very important","Slightly important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","No","No","No","No","No","No","Yes","No","No","No","","frequently","4","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"741","1980-01-01 00:00:00","1","es","Very important","Not at all important","Not at all important","Not at all important","Not at all important","Extremely important","Very important","Moderately important","Extremely important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","7","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"742","1980-01-01 00:00:00","1","cs","Extremely important","Not at all important","Not at all important","Very important","Slightly important","Extremely important","Moderately important","Extremely important","Very important","Extremely important","Yes","No","No","No","No","No","Yes","No","No","No","","never","15","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"743","1980-01-01 00:00:00","1","en","Very important","Extremely important","Moderately important","Very important","Slightly important","Extremely important","Extremely important","Not at all important","Very important","Slightly important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"744","1980-01-01 00:00:00","1","en","Very important","Slightly important","Very important","Not at all important","Not at all important","Very important","Very important","Slightly important","Extremely important","Moderately important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","11","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"745","1980-01-01 00:00:00","1","en","Very important","Slightly important","Not at all important","Very important","Slightly important","Very important","Very important","Moderately important","Extremely important","Moderately important","No","No","No","No","No","Yes","No","No","No","No","","rarely","3","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"746","1980-01-01 00:00:00","1","en","Moderately important","Very important","Extremely important","Very important","Slightly important","Very important","Very important","Slightly important","Very important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","rarely","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows XP, 2000, Vista, NT",""
"747","1980-01-01 00:00:00","1","en","Very important","Moderately important","Very important","Very important","Not at all important","Very important","Extremely important","Very important","Moderately important","Very important","No","No","No","No","Yes","No","No","No","No","No","","frequently","14","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"748","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Moderately important","Very important","Moderately important","Extremely important","Very important","Moderately important","Extremely important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","2004","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","macOS",""
"749","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Very important","Slightly important","Extremely important","Very important","Very important","Very important","Moderately important","No","Yes","No","No","Yes","No","Yes","No","No","No","","rarely","5","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"750","1980-01-01 00:00:00","1","en","Extremely important","Very important","Very important","Very important","Very important","Very important","Very important","Moderately important","Very important","Very important","No","No","No","No","No","No","Yes","No","No","No","","rarely","9","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"751","1980-01-01 00:00:00","1","en","Moderately important","Moderately important","Moderately important","Slightly important","Slightly important","Very important","Moderately important","Moderately important","Extremely important","Moderately important","No","No","No","No","No","No","No","No","No","No","","occasionally","20","Yes","Nothing else than 'fresh'","Yes","Yes","No","No","No","No","No","No","No","Linux",""
"752","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Moderately important","Moderately important","Moderately important","Extremely important","Moderately important","Very important","Extremely important","Very important","Yes","No","No","No","Yes","Yes","Yes","No","No","No","","always","15","Yes","I'm always on 'stable'","Yes","Yes","No","No","No","No","No","Yes","No","Linux",""
"753","1980-01-01 00:00:00","1","en","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Moderately important","Very important","Very important","No","No","No","No","No","No","No","No","No","No","","never","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"754","1980-01-01 00:00:00","1","en","Very important","Very important","Extremely important","Very important","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Very important","No","No","No","No","Yes","Yes","No","No","No","No","","occasionally","7","Yes","Bleeding edge with nightly builds","Yes","No","No","No","No","No","No","No","No","Linux",""
"755","1980-01-01 00:00:00","1","en","Extremely important","Very important","Extremely important","Very important","Very important","Extremely important","Extremely important","Moderately important","Very important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","occasionally","10","No","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 7",""
"756","1980-01-01 00:00:00","1","cs","Very important","Very important","Very important","Moderately important","Slightly important","Extremely important","Moderately important","Very important","Very important","Very important","Yes","No","No","No","No","No","No","No","No","No","Libre Office","always","11","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"757","1980-01-01 00:00:00","1","en","Very important","Very important","Very important","Moderately important","Moderately important","Very important","Very important","Very important","Very important","Moderately important","No","No","No","No","No","No","No","No","No","No","","rarely","19","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"758","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
